DATE,COUNTY_NAME,STATE,COUNTY_STATE,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag
12/1/20,kern, ca,"bakersfield, ca",92,332,70,10,72.352568,95.87824984,48.82688649,41.5,0.106666667,4,-0.302521008,-18,-24.5,0.129032258,1.692307692,0.9722,292500,-0.033057851,0.125,0.8603,0
12/1/20,orange, ca,"los angeles-long beach-anaheim, ca",6,844,45,-272,48.95371,77.42549144,20.48192771,53,0.177777778,8,-0.220588235,-15,-13,0.222222222,0.833333333,0.6111,949000,0.009037746,0.055617353,2.7912,0
12/1/20,imperial, ca,"el centro, ca",467,314,-119,-156,73.176918,88.5225111,57.8313253,47.5,0.1875,7.5,0.104651163,4.5,-18.5,-0.090909091,1.5,1.1111,297450,0.017810399,0.072858431,0.8749,0
12/1/20,ventura, ca,"oxnard-thousand oaks-ventura, ca",87,331,120,-189,72.384274,79.45466075,65.31388713,52,0.11827957,5.5,-0.168,-10.5,-14,0.189189189,1.444444444,1.2222,849250,0.029456955,0.064890282,2.4978,0
12/1/20,tuolumne, ca,"sonora, ca",890,759,57,456,52.346227,41.0906785,63.60177552,69.5,0.07751938,5,-0.371040724,-41,3.5,0.075,2.583333333,1.1944,425000,0.031553398,0.216109879,1.25,0
12/1/20,santa barbara, ca,"santa maria-santa barbara, ca",176,954,75,-56,43.373494,27.901078,58.84590996,78.5,0.129496403,9,-0.207070707,-20.5,12.5,0.176470588,1.5,1.1111,2345000,-8.52E-04,0.663120567,6.8971,0
12/1/20,butte, ca,"chico, ca",281,692,-158,-457,54.533925,63.34812936,45.71972099,58.5,0.244680851,11.5,-0.176056338,-12.5,-7.5,0,0.789473684,0.9444,398500,0.029715762,0.148414986,1.1721,0
12/1/20,marin, ca,"san francisco-oakland-hayward, ca",242,493,-26,-226,63.760304,72.66962587,54.85098288,55,0.358024691,14.5,-0.337349398,-28,-11,0.266666667,0.310344828,1.0556,1422500,0.007115296,0.027075812,4.1838,0
12/1/20,placer, ca,"sacramento--roseville--arden-arcade, ca",181,67,88,94,88.427394,90.2346227,86.62016487,46.5,0.148148148,6,-0.34965035,-25,-19.5,0.276595745,1.608695652,1.6667,658000,-0.013419297,0.110595384,1.9353,0
12/1/20,napa, ca,"napa, ca",477,1223,-13,-299,28.535193,22.6379201,34.43246671,83,0.22962963,15.5,-0.174129353,-17.5,17,0.16,0.8125,0.8056,1349500,0.01161919,0.356281407,3.9691,0
12/1/20,santa clara, ca,"san jose-sunnyvale-santa clara, ca",19,628,101,-545,57.577679,95.05389981,20.10145847,42.5,0.180555556,6.5,-0.279661017,-16.5,-23.5,0.375,0.1,0.6111,1193444,-0.024764862,0.060839111,3.5101,0
12/1/20,humboldt, ca,"eureka-arcata-fortuna, ca",431,345,-160,347,71.559924,53.45592898,89.66391883,63,0.4,18,-0.326203209,-30.5,-3,0.230769231,2.368421053,1.7778,444500,0.03372093,0.222833563,1.3074,0
12/1/20,mendocino, ca,"ukiah, ca",633,836,51,488,49.39759,40.58338618,58.21179455,70,0.102362205,6.5,-0.489051095,-67,4,0.111111111,2.333333333,1.1111,764500,0.009240924,0.2232,2.2485,0
12/1/20,el dorado, ca,"sacramento--roseville--arden-arcade, ca",346,134,23,497,82.974001,75.58655675,90.36144578,54,0.24137931,10.5,-0.413043478,-38,-12,0.25,2.421052632,1.8056,687000,0.011782032,0.284961185,2.0206,0
12/1/20,monterey, ca,"salinas, ca",195,255,118,365,75.554851,71.40139505,79.70830691,55.5,0.099009901,5,-0.415789474,-39.5,-10.5,0.127659574,1.523809524,1.4722,1312000,0,0.312000656,3.8588,0
12/1/20,tehama, ca,"red bluff, ca",849,864,26,-18,47.653773,51.87064046,43.43690552,64,0.084745763,5,-0.280898876,-25,-2,0,1.2,0.9167,367500,-0.033530572,0.059230437,1.0809,0
12/1/20,madera, ca,"madera, ca",529,444,95,291,66.26506,70.19657578,62.33354471,56,0.154639175,7.5,-0.277419355,-21.5,-10,0.2,2.230769231,1.1667,399450,-0.017343173,0.183555556,1.1749,0
12/1/20,yolo, ca,"sacramento--roseville--arden-arcade, ca",336,166,122,-121,80.88142,81.42041852,80.34242232,51,0.133333333,6,-0.19047619,-12,-15,0.227272727,1.076923077,1.5,550000,0.001821494,0.089544729,1.6176,0
